"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 23, 2020","747.11","751.97","754.54","746.68","50.30M","-0.63%"
"Jul 22, 2020","751.81","759.80","763.57","747.97","47.45M","-1.11%"
"Jul 21, 2020","760.24","758.61","766.03","758.59","47.79M","0.22%"
"Jul 20, 2020","758.60","754.39","760.08","750.70","34.80M","0.62%"
"Jul 17, 2020","753.96","747.21","754.80","747.21","37.29M","0.92%"
"Jul 16, 2020","747.08","754.73","754.73","746.71","46.71M","-1.02%"
"Jul 15, 2020","754.78","739.62","754.78","739.62","55.56M","2.05%"
"Jul 14, 2020","739.62","736.11","740.31","731.84","70.57M","0.47%"
"Jul 13, 2020","736.15","718.47","736.70","718.47","60.43M","2.54%"
"Jul 10, 2020","717.92","716.34","719.02","708.10","45.94M","0.22%"
"Jul 09, 2020","716.31","726.60","727.97","716.15","48.31M","-1.41%"
"Jul 08, 2020","726.55","725.28","726.89","719.69","48.72M","0.18%"
"Jul 07, 2020","725.28","726.83","727.95","719.22","51.22M","-0.23%"
"Jul 06, 2020","726.97","718.97","729.00","718.97","56.33M","1.12%"
"Jul 03, 2020","718.90","725.57","726.51","718.01","39.94M","-0.92%"
"Jul 02, 2020","725.57","722.14","727.64","717.98","50.78M","0.48%"
"Jul 01, 2020","722.12","714.81","722.78","712.84","49.95M","0.98%"
"Jun 30, 2020","715.09","720.38","722.25","713.00","52.18M","-0.73%"
"Jun 29, 2020","720.38","715.16","721.17","711.29","45.14M","0.71%"
"Jun 26, 2020","715.31","720.65","725.82","715.24","38.23M","-0.75%"
"Jun 25, 2020","720.75","722.22","722.28","708.69","51.97M","-0.20%"
"Jun 24, 2020","722.23","732.36","733.73","722.09","44.23M","-1.37%"
"Jun 23, 2020","732.27","725.65","738.78","725.65","50.31M","0.92%"
"Jun 22, 2020","725.62","733.91","733.91","724.96","43.34M","-1.13%"
"Jun 19, 2020","733.91","730.72","739.76","730.72","115.33M","0.48%"
"Jun 18, 2020","730.42","736.82","739.07","729.83","100.09M","-0.89%"
"Jun 17, 2020","737.01","743.22","746.99","736.98","172.51M","-0.86%"
"Jun 16, 2020","743.39","723.93","743.97","723.93","151.22M","2.75%"
"Jun 15, 2020","723.47","742.41","742.41","713.84","182.14M","-2.70%"
"Jun 12, 2020","743.57","737.07","747.46","723.51","160.87M","0.88%"
"Jun 11, 2020","737.07","759.24","759.35","735.87","201.62M","-3.03%"
"Jun 10, 2020","760.11","759.09","767.29","755.20","168.59M","0.13%"
"Jun 09, 2020","759.09","775.10","777.46","757.93","149.54M","-2.05%"
"Jun 08, 2020","775.00","767.59","780.54","767.20","189.70M","0.97%"
"Jun 05, 2020","767.59","751.34","769.32","751.34","179.99M","2.21%"
"Jun 04, 2020","750.98","750.43","751.77","741.08","166.31M","0.07%"
"Jun 03, 2020","750.43","735.27","750.43","735.27","128.93M","2.06%"
"Jun 02, 2020","735.27","717.26","735.56","717.26","160.18M","2.54%"
"May 29, 2020","717.05","727.78","727.96","715.10","134.34M","-1.49%"
"May 28, 2020","727.89","728.15","732.31","726.20","138.62M","-0.01%"
"May 27, 2020","727.96","726.15","733.91","724.11","220.77M","0.27%"
"May 26, 2020","726.02","716.03","726.88","715.67","240.20M","1.46%"
"May 25, 2020","715.54","701.17","715.54","701.17","159.76M","2.07%"
"May 22, 2020","701.03","715.55","715.55","697.08","181.53M","-2.08%"
"May 20, 2020","715.89","707.66","715.95","701.76","461.31M","1.18%"
"May 19, 2020","707.57","699.69","710.88","699.69","104.44M","1.14%"
"May 18, 2020","699.61","682.58","699.61","682.58","122.65M","2.53%"
"May 15, 2020","682.32","666.35","683.32","666.35","65.64M","2.43%"
"May 14, 2020","666.15","685.67","685.67","665.29","66.36M","-2.85%"
"May 13, 2020","685.67","697.66","697.74","682.96","66.42M","-1.72%"
"May 12, 2020","697.68","691.58","700.75","688.57","73.41M","0.88%"
"May 11, 2020","691.60","695.89","702.36","688.29","59.28M","-0.59%"
"May 08, 2020","695.68","684.75","695.68","684.75","54.10M","1.61%"
"May 07, 2020","684.67","679.59","686.41","678.13","72.08M","0.75%"
"May 06, 2020","679.59","691.36","691.64","679.58","70.61M","-1.74%"
"May 05, 2020","691.62","687.59","697.07","687.19","79.22M","0.84%"
"May 04, 2020","685.88","709.66","709.66","685.65","127.99M","-3.38%"
"Apr 30, 2020","709.87","707.43","712.43","699.04","98.87M","0.35%"
"Apr 29, 2020","707.41","693.40","708.56","693.27","104.82M","2.03%"
"Apr 28, 2020","693.32","679.38","695.46","677.67","80.97M","2.00%"
"Apr 27, 2020","679.71","675.12","682.64","675.12","67.87M","0.69%"
"Apr 24, 2020","675.08","685.65","685.65","672.76","66.07M","-1.61%"
"Apr 23, 2020","686.11","676.05","686.11","672.83","79.11M","1.51%"
"Apr 22, 2020","675.93","663.95","677.40","653.66","81.79M","1.80%"
"Apr 21, 2020","663.99","676.75","676.75","658.11","88.08M","-1.93%"
"Apr 20, 2020","677.08","685.01","687.67","666.47","89.50M","-1.16%"
"Apr 17, 2020","685.02","665.06","685.67","665.06","98.19M","3.01%"
"Apr 16, 2020","665.00","674.96","680.07","664.54","84.90M","-1.47%"
"Apr 15, 2020","674.94","689.23","689.23","671.32","117.45M","-2.08%"
"Apr 14, 2020","689.26","670.74","689.26","670.72","158.60M","2.98%"
"Apr 08, 2020","669.31","678.98","679.00","665.85","-","-1.43%"
"Apr 07, 2020","679.05","670.92","685.96","670.92","112.52M","1.60%"
"Apr 06, 2020","668.34","656.17","668.54","652.71","103.14M","1.86%"
"Apr 03, 2020","656.14","657.65","663.54","650.01","127.49M","-0.19%"
"Apr 02, 2020","657.38","663.42","676.83","649.39","121.72M","-0.90%"
"Apr 01, 2020","663.34","644.44","663.34","631.34","96.97M","2.18%"
"Mar 31, 2020","649.19","631.38","651.84","631.17","128.79M","2.86%"
"Mar 30, 2020","631.16","611.69","631.16","594.67","94.26M","3.18%"
"Mar 27, 2020","611.70","640.50","640.54","609.15","92.80M","-4.55%"
"Mar 26, 2020","640.85","631.42","640.85","615.26","103.89M","1.52%"
"Mar 25, 2020","631.25","624.25","639.20","608.11","146.61M","1.47%"
"Mar 24, 2020","622.11","593.31","623.54","593.18","117.67M","5.26%"
"Mar 23, 2020","591.03","619.55","620.08","591.03","128.77M","-4.90%"
"Mar 20, 2020","621.51","627.20","658.49","616.97","197.45M","-0.50%"
"Mar 19, 2020","624.65","592.76","624.65","592.75","167.37M","5.38%"
"Mar 18, 2020","592.78","596.77","596.79","577.09","162.54M","-0.67%"
"Mar 17, 2020","596.79","586.07","607.85","579.99","153.31M","1.88%"
"Mar 16, 2020","585.76","609.55","609.58","552.33","183.83M","-3.87%"
"Mar 13, 2020","609.37","586.60","632.24","586.60","192.41M","3.95%"
"Mar 12, 2020","586.22","638.24","638.24","576.90","172.28M","-8.48%"
"Mar 11, 2020","640.56","662.67","673.59","640.56","134.78M","-3.32%"
"Mar 10, 2020","662.58","661.02","693.71","661.02","163.41M","0.26%"
"Mar 09, 2020","660.85","722.07","722.07","625.49","191.40M","-8.56%"
"Mar 06, 2020","722.73","755.64","755.93","722.73","148.31M","-4.41%"
"Mar 05, 2020","756.05","774.04","780.53","753.15","116.42M","-2.33%"
"Mar 04, 2020","774.05","774.84","784.15","766.38","133.81M","-0.11%"
"Mar 03, 2020","774.88","752.02","784.07","752.02","136.48M","3.08%"
"Mar 02, 2020","751.74","748.32","776.58","744.05","150.70M","0.53%"
"Feb 28, 2020","747.75","756.73","762.58","734.65","179.18M","-1.56%"
"Feb 27, 2020","759.62","798.99","798.99","759.62","140.74M","-4.93%"
"Feb 26, 2020","799.02","805.85","805.85","778.70","138.67M","-0.85%"
"Feb 25, 2020","805.90","808.24","818.79","800.35","112.55M","-0.27%"
"Feb 24, 2020","808.10","841.90","841.90","806.32","126.41M","-4.11%"
"Feb 21, 2020","842.74","847.82","847.86","838.27","91.34M","-0.62%"
"Feb 20, 2020","848.00","842.67","849.77","842.25","136.16M","0.66%"
"Feb 19, 2020","842.48","833.95","842.48","833.95","78.99M","1.02%"
"Feb 18, 2020","833.96","834.59","834.59","827.60","60.33M","-0.08%"
"Feb 17, 2020","834.59","835.17","840.20","832.23","44.51M","-0.07%"
"Feb 14, 2020","835.17","832.09","838.33","832.09","47.05M","0.37%"
"Feb 13, 2020","832.07","837.27","837.27","823.78","69.25M","-0.62%"
"Feb 12, 2020","837.30","832.05","839.07","829.71","73.51M","0.64%"
"Feb 11, 2020","831.97","820.80","832.23","820.73","83.68M","1.49%"
"Feb 10, 2020","819.72","826.74","829.26","815.57","100.18M","-0.83%"
"Feb 07, 2020","826.61","842.71","845.02","824.74","90.01M","-1.90%"
"Feb 06, 2020","842.61","838.57","849.19","838.57","83.08M","0.77%"
"Feb 05, 2020","836.15","823.72","837.44","822.43","53.02M","1.51%"
"Feb 04, 2020","823.72","821.81","829.57","821.81","53.25M","0.23%"
"Feb 03, 2020","821.87","822.34","825.01","816.88","47.95M","-0.06%"
"Jan 31, 2020","822.33","826.44","833.54","822.28","62.40M","-0.49%"
"Jan 30, 2020","826.41","834.27","834.27","824.67","41.96M","-0.96%"
"Jan 29, 2020","834.44","835.95","842.86","832.78","53.87M","-0.18%"
"Jan 28, 2020","835.95","830.59","836.15","825.09","61.24M","0.64%"
"Jan 27, 2020","830.67","846.79","846.79","824.84","108.29M","-1.92%"
"Jan 24, 2020","846.91","838.73","849.23","838.73","45.69M","0.98%"
"Jan 23, 2020","838.69","851.76","851.76","835.60","63.60M","-1.53%"
"Jan 22, 2020","851.72","850.70","856.67","850.70","70.36M","0.10%"
"Jan 21, 2020","850.89","855.75","855.75","845.90","58.38M","-0.60%"
"Jan 20, 2020","856.04","856.89","858.96","853.31","48.24M","-0.10%"
"Jan 17, 2020","856.87","847.85","858.33","847.85","47.39M","1.21%"
"Jan 16, 2020","846.60","846.80","848.72","842.43","53.32M","-0.02%"
"Jan 15, 2020","846.77","849.03","851.66","846.19","47.47M","-0.25%"
"Jan 14, 2020","848.90","851.81","854.57","848.26","48.84M","-0.22%"
"Jan 13, 2020","850.79","850.80","855.16","849.51","47.66M","0.01%"
"Jan 10, 2020","850.69","849.86","853.01","847.38","40.45M","0.13%"
"Jan 09, 2020","849.55","850.62","853.37","846.06","49.60M","-0.11%"
"Jan 08, 2020","850.52","849.19","852.55","848.62","45.32M","0.14%"
"Jan 07, 2020","849.34","853.48","859.58","849.06","46.28M","-0.46%"
"Jan 06, 2020","853.29","853.49","856.73","847.97","60.45M","-0.02%"
"Jan 03, 2020","853.47","851.70","855.51","849.27","45.68M","0.22%"
"Jan 02, 2020","851.57","843.50","854.67","843.45","44.02M","0.97%"
"Dec 30, 2019","843.35","846.72","847.62","843.31","29.61M","-0.40%"
"Dec 27, 2019","846.70","849.54","854.46","845.45","33.51M","-0.32%"
"Dec 23, 2019","849.41","843.06","849.42","843.06","27.72M","0.77%"
"Dec 20, 2019","842.94","838.23","844.56","838.23","53.31M","0.57%"
"Dec 19, 2019","838.16","832.37","838.25","830.98","48.53M","0.70%"
"Dec 18, 2019","832.36","830.36","832.84","826.96","36.85M","0.24%"
"Dec 17, 2019","830.33","834.02","834.68","829.88","44.96M","-0.45%"
"Dec 16, 2019","834.07","829.67","834.82","829.67","36.32M","0.53%"
"Dec 13, 2019","829.67","824.24","832.12","824.24","47.08M","0.66%"
"Dec 12, 2019","824.21","818.87","826.06","818.46","41.70M","0.64%"
"Dec 11, 2019","818.93","822.35","823.00","816.27","35.36M","-0.47%"
"Dec 10, 2019","822.81","827.70","827.70","817.84","33.97M","-0.60%"
"Dec 09, 2019","827.75","825.78","827.85","821.61","39.20M","0.25%"
"Dec 06, 2019","825.72","817.18","826.19","816.77","42.43M","1.00%"
"Dec 05, 2019","817.51","819.37","822.42","817.05","32.34M","-0.22%"
"Dec 04, 2019","819.34","805.62","819.34","805.50","51.79M","1.70%"
"Dec 03, 2019","805.62","811.19","815.11","803.75","66.67M","-0.69%"
"Dec 02, 2019","811.18","823.36","827.19","811.18","55.71M","-1.51%"
"Nov 29, 2019","823.58","830.37","830.37","822.42","44.39M","-0.82%"
"Nov 28, 2019","830.39","834.57","834.65","830.37","21.45M","-0.52%"
"Nov 27, 2019","834.74","832.70","835.66","831.20","30.86M","0.14%"
"Nov 26, 2019","833.57","837.60","838.69","832.15","62.05M","-0.40%"
"Nov 25, 2019","836.93","832.12","837.56","832.12","30.33M","0.58%"
"Nov 22, 2019","832.12","823.34","832.31","823.21","47.62M","1.16%"
"Nov 21, 2019","822.61","822.97","823.28","818.46","39.05M","-0.04%"
"Nov 20, 2019","822.98","826.61","826.61","815.83","77.92M","-0.44%"
"Nov 19, 2019","826.58","826.28","830.68","824.97","92.88M","0.04%"
"Nov 18, 2019","826.24","826.78","831.32","823.27","46.18M","-0.06%"
"Nov 15, 2019","826.73","832.41","832.89","822.90","49.91M","-0.67%"
"Nov 14, 2019","832.33","835.63","836.32","831.55","38.83M","-0.35%"
"Nov 13, 2019","835.23","841.91","841.94","831.64","48.76M","-0.80%"
"Nov 12, 2019","841.95","843.13","845.54","839.17","39.74M","-0.14%"
"Nov 11, 2019","843.12","842.48","843.12","836.20","46.08M","0.07%"
"Nov 08, 2019","842.51","845.14","845.44","839.27","44.25M","-0.31%"
"Nov 07, 2019","845.13","837.55","845.15","835.54","54.66M","0.91%"
"Nov 06, 2019","837.55","834.91","837.64","832.59","52.98M","0.29%"
"Nov 05, 2019","835.12","834.09","837.21","832.96","64.10M","0.13%"
"Nov 04, 2019","834.02","829.80","835.13","828.86","47.28M","0.51%"
"Nov 01, 2019","829.75","824.28","830.90","822.86","34.59M","0.65%"
"Oct 31, 2019","824.36","832.90","833.38","823.12","68.34M","-1.03%"
"Oct 30, 2019","832.96","835.11","839.41","831.57","58.03M","-0.26%"
"Oct 29, 2019","835.11","839.17","839.19","829.24","37.91M","-0.49%"
"Oct 28, 2019","839.21","831.30","840.61","831.10","36.49M","0.95%"
"Oct 25, 2019","831.30","835.78","836.13","827.78","45.15M","-0.53%"
"Oct 24, 2019","835.70","822.25","836.59","822.22","55.00M","1.60%"
"Oct 23, 2019","822.50","827.61","831.33","818.22","69.04M","-0.65%"
"Oct 22, 2019","827.92","827.89","829.98","824.41","49.37M","0.00%"
