"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 23, 2020","27,311.54","27,423.92","27,436.50","27,226.32","34.92M","-0.29%"
"Jul 22, 2020","27,390.38","27,184.35","27,390.38","27,080.35","38.81M","0.57%"
"Jul 21, 2020","27,234.98","27,317.69","27,526.41","27,211.61","47.43M","0.43%"
"Jul 20, 2020","27,118.42","26,938.54","27,177.22","26,723.23","33.86M","0.67%"
"Jul 17, 2020","26,937.43","27,091.39","27,110.64","26,860.12","38.39M","-0.47%"
"Jul 16, 2020","27,065.66","26,995.03","27,127.69","26,940.44","44.04M","-0.05%"
"Jul 15, 2020","27,078.72","26,894.86","27,207.47","26,868.48","52.47M","1.46%"
"Jul 14, 2020","26,689.70","26,748.50","26,781.32","26,423.47","48.81M","-1.09%"
"Jul 13, 2020","26,984.24","26,902.41","27,015.88","26,766.07","42.15M","1.16%"
"Jul 10, 2020","26,673.94","26,452.68","26,746.78","26,409.62","42.40M","0.45%"
"Jul 09, 2020","26,555.63","26,908.06","26,978.29","26,554.01","54.41M","-0.76%"
"Jul 08, 2020","26,758.99","26,786.62","26,898.49","26,684.25","46.99M","-0.56%"
"Jul 07, 2020","26,909.23","26,950.16","26,981.97","26,703.95","54.57M","-0.56%"
"Jul 06, 2020","27,060.39","26,935.86","27,137.04","26,827.06","46.74M","1.73%"
"Jul 03, 2020","26,600.49","26,700.14","26,806.75","26,535.18","31.53M","-0.10%"
"Jul 02, 2020","26,627.46","26,261.43","26,705.08","26,243.77","55.35M","2.10%"
"Jul 01, 2020","26,080.66","25,800.76","26,135.37","25,539.06","43.70M","0.93%"
"Jun 30, 2020","25,840.30","25,783.98","25,948.04","25,754.29","47.12M","0.67%"
"Jun 29, 2020","25,668.74","25,557.25","25,833.13","25,477.67","44.93M","0.19%"
"Jun 26, 2020","25,620.35","26,004.27","26,077.34","25,614.54","49.06M","-1.00%"
"Jun 25, 2020","25,879.25","25,512.11","25,891.01","25,324.51","69.12M","1.39%"
"Jun 24, 2020","25,523.98","26,167.77","26,255.11","25,523.98","51.97M","-2.46%"
"Jun 23, 2020","26,168.83","26,159.94","26,378.34","26,056.61","52.10M","0.75%"
"Jun 22, 2020","25,973.96","26,067.14","26,223.49","25,896.36","48.59M","-1.04%"
"Jun 19, 2020","26,246.00","26,335.28","26,366.54","26,145.08","118.00M","0.17%"
"Jun 18, 2020","26,201.35","26,137.24","26,428.38","26,050.36","57.42M","-0.02%"
"Jun 17, 2020","26,205.73","26,040.04","26,279.71","26,010.57","44.90M","0.57%"
"Jun 16, 2020","26,056.52","25,802.92","26,202.92","25,758.02","57.70M","2.45%"
"Jun 15, 2020","25,434.54","24,997.35","25,467.87","24,791.65","50.39M","-0.17%"
"Jun 12, 2020","25,477.06","25,317.15","25,892.89","25,152.82","58.83M","-0.15%"
"Jun 11, 2020","25,514.79","26,074.29","26,083.88","25,508.64","64.01M","-3.33%"
"Jun 10, 2020","26,393.34","26,624.66","26,877.55","26,358.84","59.12M","-0.49%"
"Jun 09, 2020","26,523.55","26,987.35","27,164.82","26,368.36","79.15M","-1.73%"
"Jun 08, 2020","26,991.10","27,085.43","27,087.33","26,822.20","74.59M","-0.77%"
"Jun 05, 2020","27,199.76","26,992.95","27,242.61","26,894.49","86.15M","1.64%"
"Jun 04, 2020","26,760.42","26,550.24","26,800.63","26,450.06","71.73M","0.31%"
"Jun 03, 2020","26,677.43","26,279.48","26,678.48","26,243.43","68.82M","2.29%"
"Jun 02, 2020","26,080.63","25,697.99","26,101.11","25,697.99","77.59M","2.70%"
"May 29, 2020","25,396.00","25,437.47","25,563.77","25,301.90","122.41M","-0.93%"
"May 28, 2020","25,633.68","25,332.93","25,662.05","25,256.49","62.19M","1.91%"
"May 27, 2020","25,152.03","25,481.91","25,534.81","25,053.23","80.63M","-1.16%"
"May 26, 2020","25,446.60","25,240.23","25,510.98","25,226.09","60.29M","1.44%"
"May 25, 2020","25,085.86","24,775.97","25,086.20","24,730.70","32.62M","2.02%"
"May 22, 2020","24,590.01","24,245.56","24,653.70","24,137.32","47.48M","0.75%"
"May 21, 2020","24,406.91","24,321.24","24,622.19","24,216.70","38.15M","-0.29%"
"May 20, 2020","24,478.88","24,179.07","24,498.04","23,988.82","54.99M","1.16%"
"May 19, 2020","24,198.38","24,243.16","24,312.20","23,976.46","71.72M","0.46%"
"May 18, 2020","24,087.72","23,563.53","24,087.72","23,563.53","61.69M","3.51%"
"May 15, 2020","23,270.68","23,129.19","23,364.57","23,129.19","59.74M","1.20%"
"May 14, 2020","22,994.51","23,362.63","23,362.63","22,822.74","75.95M","-2.34%"
"May 13, 2020","23,546.44","23,641.14","23,776.46","23,511.05","66.49M","-1.15%"
"May 12, 2020","23,819.97","23,826.23","24,022.73","23,753.29","68.93M","-0.19%"
"May 11, 2020","23,865.82","24,081.13","24,158.36","23,736.82","54.40M","-0.41%"
"May 08, 2020","23,965.21","23,914.13","24,035.42","23,835.11","52.67M","0.94%"
"May 07, 2020","23,742.94","23,162.93","23,752.91","23,162.93","54.52M","2.86%"
"May 06, 2020","23,082.78","23,167.52","23,248.11","22,975.51","53.79M","-0.15%"
"May 05, 2020","23,117.73","22,635.23","23,137.71","22,635.23","55.81M","3.06%"
"May 04, 2020","22,431.37","22,641.89","22,641.89","22,234.65","60.52M","-2.66%"
"Apr 30, 2020","23,043.70","23,561.23","23,624.46","23,008.24","66.75M","-1.55%"
"Apr 29, 2020","23,406.05","22,873.78","23,406.05","22,755.71","56.09M","2.58%"
"Apr 28, 2020","22,817.07","22,619.29","23,028.12","22,497.46","62.43M","1.03%"
"Apr 27, 2020","22,584.22","22,521.96","22,677.55","22,479.94","50.62M","1.54%"
"Apr 24, 2020","22,240.69","22,288.73","22,420.01","22,083.02","46.50M","-1.18%"
"Apr 23, 2020","22,506.81","22,347.08","22,607.16","22,187.86","49.89M","1.04%"
"Apr 22, 2020","22,274.84","22,121.20","22,304.85","22,070.14","41.82M","1.49%"
"Apr 21, 2020","21,948.25","22,313.68","22,348.48","21,948.25","51.44M","-2.28%"
"Apr 20, 2020","22,460.84","22,499.92","22,576.47","22,202.58","40.14M","0.47%"
"Apr 17, 2020","22,356.36","22,097.87","22,477.17","22,097.87","64.52M","2.59%"
"Apr 16, 2020","21,792.67","21,938.33","22,088.60","21,703.55","66.06M","0.32%"
"Apr 15, 2020","21,722.09","22,434.10","22,461.24","21,692.13","70.47M","-2.91%"
"Apr 14, 2020","22,374.20","22,436.90","22,589.91","22,286.25","52.57M","1.24%"
"Apr 09, 2020","22,100.17","21,993.36","22,192.39","21,729.65","65.25M","1.82%"
"Apr 08, 2020","21,704.44","21,498.29","21,712.14","21,378.02","60.61M","0.77%"
"Apr 07, 2020","21,538.13","21,516.60","22,006.88","21,356.74","70.39M","2.07%"
"Apr 06, 2020","21,101.10","20,926.83","21,192.11","20,920.26","53.31M","3.71%"
"Apr 03, 2020","20,345.74","20,458.51","20,557.88","20,327.55","49.02M","-0.70%"
"Apr 02, 2020","20,488.22","20,611.91","20,651.24","20,199.98","55.87M","0.27%"
"Apr 01, 2020","20,432.30","20,728.29","20,728.32","20,253.25","58.29M","-2.89%"
"Mar 31, 2020","21,040.71","20,931.18","21,323.20","20,723.55","81.88M","1.89%"
"Mar 30, 2020","20,651.22","20,661.72","20,720.13","20,058.25","59.07M","0.16%"
"Mar 27, 2020","20,618.22","21,253.12","21,253.12","20,369.24","56.21M","-3.77%"
"Mar 26, 2020","21,426.13","20,519.96","21,426.13","20,262.18","71.75M","3.20%"
"Mar 25, 2020","20,762.04","20,855.29","21,230.22","20,029.34","85.32M","2.87%"
"Mar 24, 2020","20,181.98","19,619.88","20,181.98","19,466.49","83.49M","7.14%"
"Mar 23, 2020","18,837.03","19,178.32","19,392.06","18,495.61","73.38M","-3.50%"
"Mar 20, 2020","19,521.15","19,161.89","19,824.06","19,150.63","143.90M","5.18%"
"Mar 19, 2020","18,559.78","17,920.30","18,603.86","17,714.91","102.54M","3.63%"
"Mar 18, 2020","17,909.40","18,670.60","18,686.14","17,807.35","104.57M","-5.51%"
"Mar 17, 2020","18,954.61","19,670.84","20,039.42","18,262.63","103.73M","-1.43%"
"Mar 16, 2020","19,230.20","19,593.04","19,593.80","18,095.75","124.00M","-5.07%"
"Mar 13, 2020","20,256.48","20,772.82","21,720.98","20,064.64","126.78M","0.44%"
"Mar 12, 2020","20,168.02","21,626.27","21,631.87","20,137.14","134.11M","-10.91%"
"Mar 11, 2020","22,637.93","23,037.37","23,372.45","22,550.94","90.87M","-1.15%"
"Mar 10, 2020","22,901.96","23,230.75","23,999.10","22,798.67","109.77M","-0.82%"
"Mar 09, 2020","23,091.71","23,404.15","23,715.71","22,932.30","116.58M","-6.70%"
"Mar 06, 2020","24,750.77","25,338.82","25,338.82","24,492.79","89.02M","-3.62%"
"Mar 05, 2020","25,679.69","26,223.31","26,345.10","25,573.22","88.14M","-1.58%"
"Mar 04, 2020","26,091.33","26,003.52","26,270.96","25,794.66","75.26M","0.75%"
"Mar 03, 2020","25,897.56","25,604.24","26,399.88","25,604.24","89.70M","2.17%"
"Mar 02, 2020","25,348.33","25,789.18","26,017.96","24,909.18","81.58M","-0.07%"
"Feb 28, 2020","25,366.62","25,450.54","25,585.12","24,993.03","111.27M","-3.17%"
"Feb 27, 2020","26,196.77","26,839.42","26,839.42","25,878.13","70.38M","-3.43%"
"Feb 26, 2020","27,126.89","27,041.73","27,247.79","26,180.89","83.67M","-0.69%"
"Feb 25, 2020","27,315.42","28,003.53","28,140.61","27,302.90","65.00M","-2.04%"
"Feb 24, 2020","27,884.91","28,477.46","28,482.77","27,649.16","61.82M","-3.79%"
"Feb 21, 2020","28,983.39","29,103.07","29,199.06","28,884.52","47.98M","-0.66%"
"Feb 20, 2020","29,176.90","29,350.65","29,438.03","29,176.19","45.87M","-0.61%"
"Feb 19, 2020","29,355.19","29,153.59","29,365.70","29,131.02","44.98M","1.02%"
"Feb 18, 2020","29,057.80","29,203.48","29,203.48","29,043.03","46.92M","-0.88%"
"Feb 17, 2020","29,316.34","29,232.92","29,316.34","29,190.84","39.32M","0.35%"
"Feb 14, 2020","29,214.88","29,200.95","29,331.92","29,187.02","47.84M","0.14%"
"Feb 13, 2020","29,172.67","29,160.85","29,282.68","28,942.25","59.26M","-0.22%"
"Feb 12, 2020","29,238.36","29,251.83","29,302.17","29,180.09","40.71M","0.15%"
"Feb 11, 2020","29,195.34","28,909.07","29,196.24","28,899.06","39.32M","1.44%"
"Feb 10, 2020","28,781.24","28,632.43","28,781.24","28,556.38","34.07M","0.38%"
"Feb 07, 2020","28,671.90","28,874.33","28,906.39","28,655.97","62.92M","-0.82%"
"Feb 06, 2020","28,908.75","28,897.93","29,012.95","28,805.52","50.68M","0.45%"
"Feb 05, 2020","28,780.27","28,456.36","28,841.25","28,412.75","55.69M","1.19%"
"Feb 04, 2020","28,441.90","28,122.40","28,454.70","28,121.74","39.09M","1.41%"
"Feb 03, 2020","28,046.05","28,005.06","28,119.52","27,941.90","40.17M","0.22%"
"Jan 31, 2020","27,984.32","28,246.46","28,366.03","27,974.22","48.77M","-0.72%"
"Jan 30, 2020","28,186.14","28,324.23","28,418.77","28,158.72","36.89M","-1.15%"
"Jan 29, 2020","28,513.50","28,387.35","28,590.76","28,363.02","47.58M","0.56%"
"Jan 28, 2020","28,354.84","28,217.28","28,387.62","28,012.48","45.66M","0.79%"
"Jan 27, 2020","28,133.89","28,526.51","28,526.51","28,067.93","39.90M","-2.32%"
"Jan 24, 2020","28,802.24","28,595.95","28,861.97","28,595.95","36.67M","1.13%"
"Jan 23, 2020","28,480.53","28,695.79","28,695.79","28,455.38","38.51M","-0.95%"
"Jan 22, 2020","28,754.12","28,841.72","28,885.43","28,737.51","40.77M","-0.05%"
"Jan 21, 2020","28,767.96","28,737.29","28,768.75","28,540.72","34.41M","-0.15%"
"Jan 20, 2020","28,811.24","28,717.49","28,853.22","28,707.26","32.14M","0.49%"
"Jan 17, 2020","28,669.65","28,546.62","28,703.82","28,546.43","43.09M","0.70%"
"Jan 16, 2020","28,470.39","28,464.40","28,577.71","28,403.23","20.03M","0.22%"
"Jan 15, 2020","28,407.22","28,480.76","28,537.56","28,297.47","45.12M","-0.19%"
"Jan 14, 2020","28,462.47","28,442.98","28,474.83","28,225.21","36.87M","0.20%"
"Jan 13, 2020","28,405.66","28,505.31","28,590.24","28,380.53","34.22M","-0.23%"
"Jan 10, 2020","28,470.89","28,582.90","28,632.47","28,461.15","31.45M","-0.29%"
"Jan 09, 2020","28,554.01","28,512.25","28,608.60","28,502.75","43.08M","0.62%"
"Jan 08, 2020","28,377.80","28,186.40","28,396.59","28,018.78","38.59M","0.32%"
"Jan 07, 2020","28,287.08","28,248.92","28,459.05","28,225.65","35.25M","0.33%"
"Jan 06, 2020","28,193.27","28,283.39","28,291.29","27,864.22","35.96M","-0.91%"
"Jan 03, 2020","28,451.33","28,509.53","28,509.53","28,268.54","32.74M","-0.55%"
"Jan 02, 2020","28,608.30","28,294.97","28,639.55","28,294.97","43.08M","1.04%"
"Dec 30, 2019","28,312.80","28,515.56","28,515.56","28,312.80","16.19M","-0.79%"
"Dec 27, 2019","28,537.47","28,592.26","28,643.38","28,455.49","25.27M","-0.03%"
"Dec 23, 2019","28,545.29","28,443.46","28,563.85","28,426.59","24.35M","0.37%"
"Dec 20, 2019","28,440.98","28,356.82","28,487.74","28,341.56","61.48M","0.44%"
"Dec 19, 2019","28,316.18","28,193.51","28,316.18","28,136.17","37.30M","0.44%"
"Dec 18, 2019","28,192.36","28,276.03","28,292.09","28,163.98","34.10M","-0.37%"
"Dec 17, 2019","28,298.07","28,262.22","28,320.23","28,130.65","40.15M","0.15%"
"Dec 16, 2019","28,254.40","27,860.57","28,307.58","27,860.57","35.67M","1.73%"
"Dec 13, 2019","27,772.98","27,709.44","27,899.93","27,694.12","51.68M","0.95%"
"Dec 12, 2019","27,511.99","27,382.18","27,622.33","27,339.65","49.81M","0.59%"
"Dec 11, 2019","27,350.96","27,287.37","27,375.33","27,203.94","40.60M","0.27%"
"Dec 10, 2019","27,276.36","27,323.61","27,323.61","27,004.46","40.70M","-0.37%"
"Dec 09, 2019","27,378.46","27,343.50","27,413.76","27,336.04","28.37M","0.13%"
"Dec 06, 2019","27,343.84","27,185.89","27,358.70","27,136.32","31.81M","0.71%"
"Dec 05, 2019","27,151.51","27,277.46","27,353.06","27,144.04","31.36M","-0.33%"
"Dec 04, 2019","27,241.08","26,898.33","27,279.44","26,898.33","40.03M","1.28%"
"Dec 03, 2019","26,897.14","27,095.04","27,252.07","26,819.59","43.75M","-0.49%"
"Dec 02, 2019","27,029.90","27,493.39","27,615.02","27,009.18","43.73M","-1.57%"
"Nov 29, 2019","27,461.61","27,429.27","27,592.52","27,386.59","30.73M","-0.16%"
"Nov 28, 2019","27,505.33","27,480.39","27,530.26","27,423.16","24.04M","-0.09%"
"Nov 27, 2019","27,531.46","27,586.09","27,636.73","27,476.44","40.26M","-0.04%"
"Nov 26, 2019","27,542.83","27,298.05","27,554.39","27,258.89","66.85M","0.95%"
"Nov 25, 2019","27,282.98","27,191.02","27,286.11","27,168.10","36.41M","0.71%"
"Nov 22, 2019","27,091.47","27,020.54","27,251.41","27,001.02","43.69M","0.24%"
"Nov 21, 2019","27,027.01","27,110.33","27,111.46","26,863.08","50.29M","-0.69%"
"Nov 20, 2019","27,215.30","27,254.21","27,264.92","27,059.06","42.84M","-0.29%"
"Nov 19, 2019","27,294.28","27,258.18","27,502.72","27,236.29","41.35M","0.20%"
"Nov 18, 2019","27,239.14","27,214.00","27,423.00","27,114.06","41.19M","0.15%"
"Nov 15, 2019","27,198.74","27,208.14","27,258.57","27,007.46","39.95M","0.44%"
"Nov 14, 2019","27,080.75","27,072.15","27,177.57","27,009.34","47.97M","-0.02%"
"Nov 13, 2019","27,085.37","26,975.75","27,095.02","26,802.55","51.67M","0.27%"
"Nov 12, 2019","27,012.69","27,006.14","27,081.50","26,954.47","44.96M","0.16%"
"Nov 11, 2019","26,968.83","26,954.40","27,028.21","26,900.71","38.32M","-0.04%"
